OECD,Year,Central Government Debt (Percent of GDP),"Inflation, consumer prices (annual %)","Current account balance (BoP, current US$)",Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)","GovernmentExpenditure_Agriculture, forestry, fishing and hunting",GovernmentExpenditure_Communication,GovernmentExpenditure_Defence,GovernmentExpenditure_Education,GovernmentExpenditure_Environment protection,GovernmentExpenditure_Fuel and energy,"GovernmentExpenditure_General economic, commercial and labour affairs",GovernmentExpenditure_General public services,GovernmentExpenditure_Health,GovernmentExpenditure_Housing and community amenities,"GovernmentExpenditure_Mining, manufacturing and construction",GovernmentExpenditure_Other industries,GovernmentExpenditure_Public order and safety,GovernmentExpenditure_RandD Economic affairs,"GovernmentExpenditure_Recreation, culture and religion",GovernmentExpenditure_Social protection,GovernmentExpenditure_Total function,GovernmentExpenditure_Transport,Imports of goods and services (% of GDP),"Labor force participation rate for ages 15-24, total (%)",GDP (current US$),Net migration,Population growth (annual %),Population ages 15-64 (% of total population),Profit tax (% of commercial profits),Urban population (% of total population),Social Spending,Real interest rate (%),Tax revenue (% of GDP),"Labor force, total","Unemployment, total (% of total labor force)",Reelection Frequency (Years),LongInterestRate,DebtQuantile,Central Government Debt (Percent of GDP)_lag1,"Inflation, consumer prices (annual %)_lag1","Current account balance (BoP, current US$)_lag1",Exports of goods and services (% of GDP)_lag1,"Foreign direct investment, net inflows (BoP, current US$)_lag1","GovernmentExpenditure_Agriculture, forestry, fishing and hunting_lag1",GovernmentExpenditure_Communication_lag1,GovernmentExpenditure_Defence_lag1,GovernmentExpenditure_Education_lag1,GovernmentExpenditure_Environment protection_lag1,GovernmentExpenditure_Fuel and energy_lag1,"GovernmentExpenditure_General economic, commercial and labour affairs_lag1",GovernmentExpenditure_General public services_lag1,GovernmentExpenditure_Health_lag1,GovernmentExpenditure_Housing and community amenities_lag1,"GovernmentExpenditure_Mining, manufacturing and construction_lag1",GovernmentExpenditure_Other industries_lag1,GovernmentExpenditure_Public order and safety_lag1,GovernmentExpenditure_RandD Economic affairs_lag1,"GovernmentExpenditure_Recreation, culture and religion_lag1",GovernmentExpenditure_Social protection_lag1,GovernmentExpenditure_Total function_lag1,GovernmentExpenditure_Transport_lag1,Imports of goods and services (% of GDP)_lag1,"Labor force participation rate for ages 15-24, total (%)_lag1",GDP (current US$)_lag1,Net migration_lag1,Population growth (annual %)_lag1,Population ages 15-64 (% of total population)_lag1,Profit tax (% of commercial profits)_lag1,Urban population (% of total population)_lag1,Social Spending_lag1,Real interest rate (%)_lag1,Tax revenue (% of GDP)_lag1,"Labor force, total_lag1","Unemployment, total (% of total labor force)_lag1",Reelection Frequency (Years)_lag1,LongInterestRate_lag1,Overall Deficit (USD),Overall Deficit (USD)_lag1
Australia,2010,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,1,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,-235258911119.66397,-235258911119.66397
Australia,2011,16.983877176309,3.303850156,-45473314445.0,21.43724723,65578266556.0,5126.0,689.0,28771.0,90938.0,15653.0,8309.0,6221.0,70285.0,111137.0,8910.0,3517.0,1468.0,28392.0,244.0,14594.0,151534.0,592951.0,42964.0,20.41388479,68.142,1398610000000.0,197657.0,1.389527316,67.21865099,26.1,85.3,17.02,1.44585192,20.32252448,11844196.0,5.083,3.0,4.879583333333334,1,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,-284232266678.72797,-235258911119.66397
Australia,2012,19.234094537506,1.762780156,-68558659880.0,21.4931587,57571285655.0,4567.0,649.5,29707.0,94057.0,16629.0,7995.0,7418.0,69709.0,113194.0,9089.0,4377.0,1493.0,28751.0,240.0,14501.0,157874.0,607322.0,45968.0,21.6711378,67.522,1547530000000.0,235776.0,1.745820001,66.96624251,26.1,85.402,17.308,5.077614645,21.09908592,12008516.0,5.225,3.0,3.3791666666666664,1,16.983877176309,3.303850156,-45473314445.0,21.43724723,65578266556.0,5126.0,689.0,28771.0,90938.0,15653.0,8309.0,6221.0,70285.0,111137.0,8910.0,3517.0,1468.0,28392.0,244.0,14594.0,151534.0,592951.0,42964.0,20.41388479,68.142,1398610000000.0,197657.0,1.389527316,67.21865099,26.1,85.3,17.02,1.44585192,20.32252448,11844196.0,5.083,3.0,4.879583333333334,-326514077015.776,-284232266678.72797
Australia,2013,21.244424780115,2.449888641,-51027127123.0,19.97656887,54472699004.0,4080.0,610.0,29397.0,89038.0,15878.0,7929.0,7616.0,70849.0,108872.0,8646.0,4474.0,1401.0,27510.0,209.0,13914.0,156209.0,593808.0,43246.0,21.29631015,66.822,1577120000000.0,215823.0,1.72115144,66.70029943,26.1,85.502,17.263,6.353161025,21.94434163,12179476.0,5.663,3.0,3.7230416666666666,1,19.234094537506,1.762780156,-68558659880.0,21.4931587,57571285655.0,4567.0,649.5,29707.0,94057.0,16629.0,7995.0,7418.0,69709.0,113194.0,9089.0,4377.0,1493.0,28751.0,240.0,14501.0,157874.0,607322.0,45968.0,21.6711378,67.522,1547530000000.0,235776.0,1.745820001,66.96624251,26.1,85.402,17.308,5.077614645,21.09908592,12008516.0,5.225,3.0,3.3791666666666664,-346088006907.05597,-326514077015.776
Australia,2014,24.592745963714,2.487922705,-44851604484.0,21.08760339,63204516348.0,3674.0,826.0,29845.0,84891.0,12066.0,7713.0,6709.0,68722.0,105003.0,8547.0,4124.0,1293.0,27310.0,237.0,13176.0,153435.0,571977.0,41110.0,21.39641963,66.562,1468270000000.0,200177.0,1.491566489,66.44912894,26.1,85.602,17.804,4.481619482,21.89787868,12319396.0,6.078,3.0,3.663833333333333,1,21.244424780115,2.449888641,-51027127123.0,19.97656887,54472699004.0,4080.0,610.0,29397.0,89038.0,15878.0,7929.0,7616.0,70849.0,108872.0,8646.0,4474.0,1401.0,27510.0,209.0,13914.0,156209.0,593808.0,43246.0,21.29631015,66.822,1577120000000.0,215823.0,1.72115144,66.70029943,26.1,85.502,17.263,6.353161025,21.94434163,12179476.0,5.663,3.0,3.7230416666666666,-321519411317.836,-346088006907.05597
Australia,2015,28.452028407718,1.508366722,-57146704129.0,20.06612629,46892808568.0,3291.0,128.0,27358.0,72930.0,10688.0,6071.0,5330.0,57358.0,93111.0,6922.0,3137.0,1127.0,23817.0,167.0,11789.0,131441.0,491934.0,34344.0,21.59780564,67.261,1351300000000.0,212350.0,1.439216653,66.19741597,26.0,85.701,18.207,6.237773348,21.87407068,12556049.0,6.055,3.0,2.7205,1,24.592745963714,2.487922705,-44851604484.0,21.08760339,63204516348.0,3674.0,826.0,29845.0,84891.0,12066.0,7713.0,6709.0,68722.0,105003.0,8547.0,4124.0,1293.0,27310.0,237.0,13176.0,153435.0,571977.0,41110.0,21.39641963,66.562,1468270000000.0,200177.0,1.491566489,66.44912894,26.1,85.602,17.804,4.481619482,21.89787868,12319396.0,6.078,3.0,3.663833333333333,-295583825164.83997,-321519411317.836
Australia,2016,31.624370413327,1.276990945,-41521105179.0,19.27874425,42970225978.0,3267.0,346.5,29102.0,75032.0,11416.0,6382.0,5043.0,57547.0,100048.0,7087.0,3094.0,1212.0,24871.0,150.0,11888.0,131543.0,507644.0,38669.0,21.69533522,66.791,1206840000000.0,254648.0,1.561940498,65.96156147,26.0,85.8,17.476,6.124606749,22.27552213,12730637.0,5.711,3.0,2.3408333333333333,1,28.452028407718,1.508366722,-57146704129.0,20.06612629,46892808568.0,3291.0,128.0,27358.0,72930.0,10688.0,6071.0,5330.0,57358.0,93111.0,6922.0,3137.0,1127.0,23817.0,167.0,11789.0,131441.0,491934.0,34344.0,21.59780564,67.261,1351300000000.0,212350.0,1.439216653,66.19741597,26.0,85.701,18.207,6.237773348,21.87407068,12556049.0,6.055,3.0,2.7205,-268829403629.692,-295583825164.83997
Australia,2017,32.377926684974,1.948647409,-36094440899.0,21.25661748,48199372040.0,3391.0,565.0,31911.0,82538.0,12933.0,7004.0,5729.0,58558.0,106476.0,7909.0,2887.0,1367.0,27987.0,343.0,13872.0,138566.0,549332.0,44489.0,20.94711419,66.891,1325580000000.0,255023.0,1.646827797,65.77111794,26.0,85.904,17.077,1.536195526,22.11036864,13009297.0,5.592,3.0,2.64125,1,31.624370413327,1.276990945,-41521105179.0,19.27874425,42970225978.0,3267.0,346.5,29102.0,75032.0,11416.0,6382.0,5043.0,57547.0,100048.0,7087.0,3094.0,1212.0,24871.0,150.0,11888.0,131543.0,507644.0,38669.0,21.69533522,66.791,1206840000000.0,254648.0,1.561940498,65.96156147,26.0,85.8,17.476,6.124606749,22.27552213,12730637.0,5.711,3.0,2.3408333333333333,-293090075286.112,-268829403629.692
Australia,2018,32.915405932941,1.911400944,-31888709227.0,21.89409054,60686639530.0,3538.0,318.0,33567.0,86086.0,13174.0,7138.0,5897.0,59283.0,108474.0,8897.0,2685.0,1421.0,29283.0,553.0,13733.0,142450.0,565557.0,46034.0,21.84197454,67.851,1427810000000.0,226412.0,1.49599671,65.59720814,26.0,86.012,16.638,3.329588051,23.20844496,13311592.0,5.3,3.0,2.681666666666666,1,32.377926684974,1.948647409,-36094440899.0,21.25661748,48199372040.0,3391.0,565.0,31911.0,82538.0,12933.0,7004.0,5729.0,58558.0,106476.0,7909.0,2887.0,1367.0,27987.0,343.0,13872.0,138566.0,549332.0,44489.0,20.94711419,66.891,1325580000000.0,255023.0,1.646827797,65.77111794,26.0,85.904,17.077,1.536195526,22.11036864,13009297.0,5.592,3.0,2.64125,-331371932426.37604,-293090075286.112
Australia,2019,36.581445830794,1.610767873,4876229870.0,24.159678,38745129661.0,3408.0,497.0,34566.0,87528.0,13305.0,7118.0,41302.0,55505.0,108333.0,8577.0,2767.0,1244.0,29125.0,423.0,13431.0,151800.0,606216.0,44263.0,22.0278239,68.121,1392720000000.0,207142.0,1.477490711,65.39377242,26.1,86.124,20.451,1.578066835,23.40844001,13590351.0,5.159,3.0,1.497083333333333,2,32.915405932941,1.911400944,-31888709227.0,21.89409054,60686639530.0,3538.0,318.0,33567.0,86086.0,13174.0,7138.0,5897.0,59283.0,108474.0,8897.0,2685.0,1421.0,29283.0,553.0,13733.0,142450.0,565557.0,46034.0,21.84197454,67.851,1427810000000.0,226412.0,1.49599671,65.59720814,26.0,86.012,16.638,3.329588051,23.20844496,13311592.0,5.3,3.0,2.681666666666666,-326013419491.27203,-331371932426.37604
Australia,2020,43.628057381657,0.846905537,30964409985.0,24.02673916,17976843681.0,3897.0,390.0,35494.0,87142.0,13887.0,7684.0,60815.0,52395.0,117575.0,9703.0,3316.0,1342.0,30688.0,559.0,13957.0,168763.0,660774.0,49158.0,20.63771691,66.241,1328410000000.0,44447.0,1.233428251,65.10157148,26.1,86.241,20.451,1.578066835,22.59092489,13584002.0,6.456,3.0,0.9201666666666668,2,36.581445830794,1.610767873,4876229870.0,24.159678,38745129661.0,3408.0,497.0,34566.0,87528.0,13305.0,7118.0,41302.0,55505.0,108333.0,8577.0,2767.0,1244.0,29125.0,423.0,13431.0,151800.0,606216.0,44263.0,22.0278239,68.121,1392720000000.0,207142.0,1.477490711,65.39377242,26.1,86.124,20.451,1.578066835,23.40844001,13590351.0,5.159,3.0,1.497083333333333,-300099444557.249,-326013419491.27203
Australia,2021,41.005104128234,2.863910422,48838047105.0,22.05667598,31518948093.0,4245.0,390.0,41668.0,100479.0,15834.0,9387.0,20411.0,66186.0,142628.0,11798.0,3733.0,1635.0,35560.0,509.0,15997.0,186628.0,719634.0,58754.0,18.24580429,68.58,1556740000000.0,116768.0,0.140895083,64.82737843,26.1,86.362,20.451,1.578066835,23.06126793,13797733.0,5.116,3.0,1.47975,2,43.628057381657,0.846905537,30964409985.0,24.02673916,17976843681.0,3897.0,390.0,35494.0,87142.0,13887.0,7684.0,60815.0,52395.0,117575.0,9703.0,3316.0,1342.0,30688.0,559.0,13957.0,168763.0,660774.0,49158.0,20.63771691,66.241,1328410000000.0,44447.0,1.233428251,65.10157148,26.1,86.241,20.451,1.578066835,22.59092489,13584002.0,6.456,3.0,0.9201666666666668,-359003262739.482,-300099444557.249
Australia,2022,35.68914347689,6.594096713,14293228534.0,25.53158803,70364982117.0,4245.0,390.0,41668.0,100479.0,15834.0,9387.0,20411.0,66186.0,142628.0,11798.0,3733.0,1635.0,35560.0,509.0,15997.0,186628.0,720230.0,58754.0,20.2901822,68.326,1690860000000.0,140972.0,1.272698814,64.68942608,26.1,86.488,20.451,1.578066835,23.62795125,14069819.0,3.701,3.0,3.1965,1,41.005104128234,2.863910422,48838047105.0,22.05667598,31518948093.0,4245.0,390.0,41668.0,100479.0,15834.0,9387.0,20411.0,66186.0,142628.0,11798.0,3733.0,1635.0,35560.0,509.0,15997.0,186628.0,719634.0,58754.0,18.24580429,68.58,1556740000000.0,116768.0,0.140895083,64.82737843,26.1,86.362,20.451,1.578066835,23.06126793,13797733.0,5.116,3.0,1.47975,-399514856275.75,-359003262739.482
Australia,2023,34.832823368322,5.597014925,4402005809.0,26.79924113,32501414007.0,4245.0,390.0,41668.0,100479.0,15834.0,9387.0,20411.0,66186.0,142628.0,11798.0,3733.0,1635.0,35560.0,509.0,15997.0,186628.0,720230.0,58754.0,22.42594293,67.834,1728060000000.0,140232.0,2.447466169,64.58569209,26.1,86.617,20.451,1.578066835,23.62795125,14503566.0,3.667,3.0,3.9421666666666666,1,35.68914347689,6.594096713,14293228534.0,25.53158803,70364982117.0,4245.0,390.0,41668.0,100479.0,15834.0,9387.0,20411.0,66186.0,142628.0,11798.0,3733.0,1635.0,35560.0,509.0,15997.0,186628.0,720230.0,58754.0,20.2901822,68.326,1690860000000.0,140972.0,1.272698814,64.68942608,26.1,86.488,20.451,1.578066835,23.62795125,14069819.0,3.701,3.0,3.1965,-408304454140.75,-399514856275.75
Austria,2010,59.740463391604,1.81353439,11472431144.0,51.58398211,-22007325156.0,1796.0,198.0,2523.0,20061.0,2245.0,36.0,6509.0,30147.0,30856.0,1509.0,87.0,706.0,5342.0,3129.0,5049.0,83949.0,207277.0,13008.0,48.06090044,57.221,389828000000.0,22570.0,0.2403943,67.51982928,16.1,57.399,28.052,5.258,25.44035226,4294981.0,4.883,6.0,3.226383333333333,3,59.740463391604,1.81353439,11472431144.0,51.58398211,-22007325156.0,1796.0,198.0,2523.0,20061.0,2245.0,36.0,6509.0,30147.0,30856.0,1509.0,87.0,706.0,5342.0,3129.0,5049.0,83949.0,207277.0,13008.0,48.06090044,57.221,389828000000.0,22570.0,0.2403943,67.51982928,16.1,57.399,28.052,5.258,25.44035226,4294981.0,4.883,6.0,3.226383333333333,-99173409131.1128,-99173409131.1128
Austria,2011,59.06453000465,3.286579149,6798975982.0,54.29207688,22983942932.0,1813.0,204.0,2685.0,21513.0,2095.0,76.0,6781.0,31820.0,33030.0,1566.0,92.0,744.0,5710.0,3429.0,5452.0,89334.0,219714.0,13233.0,51.48302149,58.0,428955000000.0,31887.0,0.337080842,67.61804398,15.4,57.115,27.231,6.356,25.58984527,4323353.0,4.637,6.0,3.3196583333333334,3,59.740463391604,1.81353439,11472431144.0,51.58398211,-22007325156.0,1796.0,198.0,2523.0,20061.0,2245.0,36.0,6509.0,30147.0,30856.0,1509.0,87.0,706.0,5342.0,3129.0,5049.0,83949.0,207277.0,13008.0,48.06090044,57.221,389828000000.0,22570.0,0.2403943,67.51982928,16.1,57.399,28.052,5.258,25.44035226,4294981.0,4.883,6.0,3.226383333333333,-109768701063.9285,-99173409131.1128
Austria,2012,59.484750030676,2.485675622,6141933077.0,54.32549244,5218620113.0,1679.0,166.0,2433.0,20469.0,1964.0,70.0,7488.0,29727.0,31462.0,1515.0,82.0,682.0,5471.0,3529.0,5130.0,85610.0,209667.0,12059.0,51.51529895,58.15,406750000000.0,45014.0,0.455937472,67.56016443,17.0,57.147,27.611,6.366,26.09720584,4371940.0,4.909,6.0,2.371175,3,59.06453000465,3.286579149,6798975982.0,54.29207688,22983942932.0,1813.0,204.0,2685.0,21513.0,2095.0,76.0,6781.0,31820.0,33030.0,1566.0,92.0,744.0,5710.0,3429.0,5452.0,89334.0,219714.0,13233.0,51.48302149,58.0,428955000000.0,31887.0,0.337080842,67.61804398,15.4,57.115,27.231,6.356,25.58984527,4323353.0,4.637,6.0,3.3196583333333334,-106150175087.2,-109768701063.9285
Austria,2013,59.875237025571,2.000156169,7477923514.0,53.88982099,-1290975417.0,1798.0,168.0,2674.0,21607.0,1935.0,47.0,7915.0,31019.0,33462.0,1499.0,114.0,703.0,5684.0,3401.0,5391.0,91642.0,222184.0,13066.0,51.09555303,57.741,426581000000.0,56726.0,0.589387255,67.42668212,17.1,57.336,28.031,4.624,26.6387449,4414654.0,5.367,6.0,2.010758333333333,3,59.484750030676,2.485675622,6141933077.0,54.32549244,5218620113.0,1679.0,166.0,2433.0,20469.0,1964.0,70.0,7488.0,29727.0,31462.0,1515.0,82.0,682.0,5471.0,3529.0,5130.0,85610.0,209667.0,12059.0,51.51529895,58.15,406750000000.0,45014.0,0.455937472,67.56016443,17.0,57.147,27.611,6.366,26.09720584,4371940.0,4.909,6.0,2.371175,-113635602197.869,-106150175087.2
Austria,2014,58.896382097824,1.60581183,10147917734.0,53.8561571,1708425860.0,1756.0,179.0,2562.0,21838.0,2012.0,39.0,13157.0,30208.0,35047.0,1529.0,42.0,719.0,5884.0,3622.0,5397.0,94936.0,232051.0,13063.0,50.64058289,57.074,438556000000.0,74375.0,0.781541633,67.3108311,16.8,57.526,28.255,4.458,26.66058629,4438424.0,5.674,6.0,1.487291666666667,3,59.875237025571,2.000156169,7477923514.0,53.88982099,-1290975417.0,1798.0,168.0,2674.0,21607.0,1935.0,47.0,7915.0,31019.0,33462.0,1499.0,114.0,703.0,5684.0,3401.0,5391.0,91642.0,222184.0,13066.0,51.09555303,57.741,426581000000.0,56726.0,0.589387255,67.42668212,17.1,57.336,28.031,4.624,26.6387449,4414654.0,5.367,6.0,2.010758333333333,-116921368758.9724,-113635602197.869
Austria,2015,57.836408881071,0.896563335,6028432384.0,53.39601227,-6847372584.0,1377.0,178.0,2121.0,18820.0,1551.0,50.0,7085.0,25950.0,31327.0,1342.0,35.0,588.0,5131.0,3124.0,4641.0,80925.0,195308.0,11016.0,49.72156947,56.499,379546000000.0,115175.0,1.120992502,67.23471905,16.8,57.715,28.261,5.005,26.99756907,4490534.0,5.802,6.0,0.7470416666666667,3,58.896382097824,1.60581183,10147917734.0,53.8561571,1708425860.0,1756.0,179.0,2562.0,21838.0,2012.0,39.0,13157.0,30208.0,35047.0,1529.0,42.0,719.0,5884.0,3622.0,5397.0,94936.0,232051.0,13063.0,50.64058289,57.074,438556000000.0,74375.0,0.781541633,67.3108311,16.8,57.526,28.255,4.458,26.66058629,4438424.0,5.674,6.0,1.487291666666667,-102467998194.4222,-116921368758.9724
Austria,2016,58.094617570077,0.891591753,10123622307.0,52.66340208,-28502567388.0,1372.0,206.0,2349.0,19358.0,1493.0,78.0,5582.0,25580.0,32348.0,1357.0,38.0,622.0,5319.0,3246.0,4764.0,83097.0,198201.0,11296.0,48.91009251,56.659,393687000000.0,65976.0,1.081396299,67.13397492,16.9,57.905,28.197,5.126,25.55798762,4573471.0,6.064,6.0,0.3753833333333333,3,57.836408881071,0.896563335,6028432384.0,53.39601227,-6847372584.0,1377.0,178.0,2121.0,18820.0,1551.0,50.0,7085.0,25950.0,31327.0,1342.0,35.0,588.0,5131.0,3124.0,4641.0,80925.0,195308.0,11016.0,49.72156947,56.499,379546000000.0,115175.0,1.120992502,67.23471905,16.8,57.715,28.261,5.005,26.99756907,4490534.0,5.802,6.0,0.7470416666666667,-100618276520.5494,-102467998194.4222
Austria,2017,57.190537841217,2.081269114,5163531386.0,54.32602968,14031983575.0,1440.0,222.0,2476.0,20179.0,1496.0,107.0,6405.0,25048.0,34161.0,1334.0,41.0,646.0,5693.0,3568.0,4959.0,85942.0,205705.0,11910.0,51.23003708,54.943,414926000000.0,45478.0,0.694621104,66.97432683,17.0,58.094,27.826,2.91,25.56529079,4600443.0,5.561,6.0,0.5832833333333333,3,58.094617570077,0.891591753,10123622307.0,52.66340208,-28502567388.0,1372.0,206.0,2349.0,19358.0,1493.0,78.0,5582.0,25580.0,32348.0,1357.0,38.0,622.0,5319.0,3246.0,4764.0,83097.0,198201.0,11296.0,48.91009251,56.659,393687000000.0,65976.0,1.081396299,67.13397492,16.9,57.905,28.197,5.126,25.55798762,4573471.0,6.064,6.0,0.3753833333333333,-106076832758.3154,-100618276520.5494
Austria,2018,54.936212945537,1.998379814,4110246989.0,55.70223947,-27839206246.0,1562.0,298.0,2646.0,21742.0,1696.0,82.0,6725.0,26894.0,37519.0,1482.0,45.0,731.0,6172.0,4192.0,5283.0,91776.0,221843.0,12906.0,52.6757305,55.811,452582000000.0,35296.0,0.487071925,66.80745297,17.1,58.297,27.561,2.759,25.55278733,4638758.0,4.933,6.0,0.6861583333333333,3,57.190537841217,2.081269114,5163531386.0,54.32602968,14031983575.0,1440.0,222.0,2476.0,20179.0,1496.0,107.0,6405.0,25048.0,34161.0,1334.0,41.0,646.0,5693.0,3568.0,4959.0,85942.0,205705.0,11910.0,51.23003708,54.943,414926000000.0,45478.0,0.694621104,66.97432683,17.0,58.094,27.826,2.91,25.56529079,4600443.0,5.561,6.0,0.5832833333333333,-115647094110.8606,-106076832758.3154
Austria,2019,52.566907182022,1.530895642,10561750903.0,55.89580739,-12636357247.0,1480.0,226.0,2676.0,21365.0,1762.0,68.0,6703.0,25582.0,36911.0,1315.0,44.0,658.0,5935.0,4123.0,5169.0,89688.0,216212.0,12394.0,52.31147751,55.477,442984000000.0,41090.0,0.444673639,66.63685542,17.1,58.515,27.708,1.584,25.6759595,4659058.0,4.56,6.0,0.0629333333333333,3,54.936212945537,1.998379814,4110246989.0,55.70223947,-27839206246.0,1562.0,298.0,2646.0,21742.0,1696.0,82.0,6725.0,26894.0,37519.0,1482.0,45.0,731.0,6172.0,4192.0,5283.0,91776.0,221843.0,12906.0,52.6757305,55.811,452582000000.0,35296.0,0.487071925,66.80745297,17.1,58.297,27.561,2.759,25.55278733,4638758.0,4.933,6.0,0.6861583333333333,-113740176219.48,-115647094110.8606
Austria,2020,62.478110397633,1.381910634,14558305640.0,51.66308997,-12003798873.0,1706.0,247.0,2683.0,22129.0,1802.0,73.0,21308.0,26749.0,39691.0,1244.0,45.0,734.0,6210.0,4678.0,5192.0,99082.0,246951.0,13266.0,48.28512414,55.558,434398000000.0,39601.0,0.415176732,66.43705224,17.1,58.748,31.108,0.827,24.46739823,4641899.0,5.201,6.0,-0.22485,3,52.566907182022,1.530895642,10561750903.0,55.89580739,-12636357247.0,1480.0,226.0,2676.0,21365.0,1762.0,68.0,6703.0,25582.0,36911.0,1315.0,44.0,658.0,5935.0,4123.0,5169.0,89688.0,216212.0,12394.0,52.31147751,55.477,442984000000.0,41090.0,0.444673639,66.63685542,17.1,58.515,27.708,1.584,25.6759595,4659058.0,4.56,6.0,0.0629333333333333,-106285641612.15541,-113740176219.48
Austria,2021,62.57157768886,2.766666667,8244331337.0,55.9533597,18998114634.0,1846.0,273.0,2858.0,23774.0,2071.0,75.0,21935.0,27798.0,48409.0,1444.0,53.0,850.0,6736.0,4661.0,5772.0,105228.0,268792.0,14906.0,55.07890903,55.694,480467000000.0,52150.0,0.435671684,66.17648166,17.1,58.995,31.061,-0.1,25.78763699,4690012.0,6.459,6.0,-0.0853833333333333,3,62.478110397633,1.381910634,14558305640.0,51.66308997,-12003798873.0,1706.0,247.0,2683.0,22129.0,1802.0,73.0,21308.0,26749.0,39691.0,1244.0,45.0,734.0,6210.0,4678.0,5192.0,99082.0,246951.0,13266.0,48.28512414,55.558,434398000000.0,39601.0,0.415176732,66.43705224,17.1,58.748,31.108,0.827,24.46739823,4641899.0,5.201,6.0,-0.22485,-123900817024.7433,-106285641612.15541
Austria,2022,60.584698589503,8.546869932,-3911411993.0,61.96267341,14301504457.0,1846.0,273.0,2858.0,23774.0,2071.0,75.0,21935.0,27798.0,48409.0,1444.0,53.0,850.0,6736.0,4661.0,5772.0,105228.0,268793.0,14906.0,62.42077807,56.606,471774000000.0,157365.0,0.956287797,65.86409532,17.1,59.256,29.356,-1.057,26.19154912,4763761.0,4.992,6.0,1.71115,3,62.57157768886,2.766666667,8244331337.0,55.9533597,18998114634.0,1846.0,273.0,2858.0,23774.0,2071.0,75.0,21935.0,27798.0,48409.0,1444.0,53.0,850.0,6736.0,4661.0,5772.0,105228.0,268792.0,14906.0,55.07890903,55.694,480467000000.0,52150.0,0.435671684,66.17648166,17.1,58.995,31.061,-0.1,25.78763699,4690012.0,6.459,6.0,-0.0853833333333333,-123564650152.38881,-123900817024.7433
Austria,2023,58.948237673454,7.81413417,6782713687.0,59.46456662,2924935669.0,1846.0,273.0,2858.0,23774.0,2071.0,75.0,21935.0,27798.0,48409.0,1444.0,53.0,850.0,6736.0,4661.0,5772.0,105228.0,268793.0,14906.0,57.34935279,59.286,511685000000.0,4819.0,0.989464654,65.5333446,17.1,59.53,29.356,4.837,26.19154912,4828678.0,5.243,6.0,3.082675,3,60.584698589503,8.546869932,-3911411993.0,61.96267341,14301504457.0,1846.0,273.0,2858.0,23774.0,2071.0,75.0,21935.0,27798.0,48409.0,1444.0,53.0,850.0,6736.0,4661.0,5772.0,105228.0,268793.0,14906.0,62.42077807,56.606,471774000000.0,157365.0,0.956287797,65.86409532,17.1,59.256,29.356,-1.057,26.19154912,4763761.0,4.992,6.0,1.71115,-134017959321.67201,-123564650152.38881
Belgium,2010,85.766646472435,2.189299204,7337927601.0,75.82828987,125492000000.0,428.0,493.0,4679.0,29081.0,5888.0,887.0,16071.0,41602.0,37338.0,2124.0,5.0,675.0,8928.0,1083.0,6191.0,90771.0,259381.0,13116.0,74.33427375,32.51,481557000000.0,105232.0,0.913639392,65.94245181,7.4,97.651,27.666,2.311,24.46135143,4893250.0,8.293,5.0,3.4625,4,85.766646472435,2.189299204,7337927601.0,75.82828987,125492000000.0,428.0,493.0,4679.0,29081.0,5888.0,887.0,16071.0,41602.0,37338.0,2124.0,5.0,675.0,8928.0,1083.0,6191.0,90771.0,259381.0,13116.0,74.33427375,32.51,481557000000.0,105232.0,0.913639392,65.94245181,7.4,97.651,27.666,2.311,24.46135143,4893250.0,8.293,5.0,3.4625,-117795090724.7651,-117795090724.7651
